"season","season_week","week_start_date","denv1_cases","denv2_cases","denv3_cases","denv4_cases","other_positive_cases","additional_cases","total_cases","TAVG","Bt"
"1990/1991",1,1990-04-30,0,0,0,0,4,0,4,26.4285714285714,1.10584416579844
"1990/1991",2,1990-05-07,0,0,0,0,5,0,5,26.9571428571429,1.18775478688271
"1990/1991",3,1990-05-14,0,0,0,0,4,0,4,27.0857142857143,1.20754639515967
"1990/1991",4,1990-05-21,0,0,0,0,3,0,3,28.8428571428571,1.46370732353487
"1990/1991",5,1990-05-28,0,0,0,0,6,0,6,28.4428571428571,1.40874959690055
"1990/1991",6,1990-06-04,1,0,0,0,1,0,2,27.4142857142857,1.25773166401372
"1990/1991",7,1990-06-11,0,0,0,0,4,0,4,28.2,1.37418771124248
"1990/1991",8,1990-06-18,0,0,0,0,5,0,5,28.4571428571429,1.4107565223495
"1990/1991",9,1990-06-25,2,0,0,0,8,0,10,28.0428571428571,1.35141230989459
"1990/1991",10,1990-07-02,0,0,0,1,5,0,6,27.8428571428571,1.32201389969462
"1990/1991",11,1990-07-09,0,0,0,0,8,0,8,28,1.34514971259517
"1990/1991",12,1990-07-16,0,0,0,0,2,0,2,28.1142857142857,1.36180219703005
"1990/1991",13,1990-07-23,0,2,0,0,4,0,6,28.0571428571429,1.3534951254221
"1990/1991",14,1990-07-30,0,1,0,1,15,0,17,28.3571428571429,1.39664523511848
"1990/1991",15,1990-08-06,1,1,0,0,21,0,23,28.3142857142857,1.39055376161441
"1990/1991",16,1990-08-13,0,1,0,1,11,0,13,28.0285714285714,1.34932712082201
"1990/1991",17,1990-08-20,0,0,0,1,20,0,21,28.6142857142857,1.43262563392694
"1990/1991",18,1990-08-27,0,3,0,0,25,0,28,28.4142857142857,1.40472667644798
"1990/1991",19,1990-09-03,1,2,0,3,18,0,24,28.6428571428571,1.43655955053467
"1990/1991",20,1990-09-10,0,1,0,0,19,0,20,28.3285714285714,1.39258709942432
"1990/1991",21,1990-09-17,0,4,0,0,36,0,40,28.3428571428571,1.39461759854826
"1990/1991",22,1990-09-24,0,1,0,1,25,0,27,28.7285714285714,1.44827943256145
"1990/1991",23,1990-10-01,0,3,0,4,35,0,42,28.5428571428571,1.42273305096547
"1990/1991",24,1990-10-08,0,2,0,0,31,0,33,27.8714285714286,1.32623982506846
"1990/1991",25,1990-10-15,0,3,0,0,40,0,43,26.7714285714286,1.15905467431088
"1990/1991",26,1990-10-22,1,2,0,1,33,0,37,27.8142857142857,1.31777972800826
"1990/1991",27,1990-10-29,0,4,0,1,52,0,57,28.5,1.41675886732394
"1990/1991",28,1990-11-05,0,1,0,3,67,0,71,27.6714285714286,1.29649125726048
"1990/1991",29,1990-11-12,0,0,0,1,43,0,44,26.8714285714286,1.17452312772929
"1990/1991",30,1990-11-19,0,0,0,0,56,0,56,26.2571428571429,1.0791901707553
"1990/1991",31,1990-11-26,0,0,0,3,49,1,53,26.1714285714286,1.06586355499315
"1990/1991",32,1990-12-03,2,2,0,1,47,0,52,24.7571428571429,0.849039675642158
"1990/1991",33,1990-12-10,1,3,0,5,38,0,47,25.6571428571429,0.986122546741598
"1990/1991",34,1990-12-17,0,3,0,1,22,0,26,25.3,0.931218505204458
"1990/1991",35,1990-12-24,0,2,0,0,25,0,27,24.8714285714286,0.866185079492914
"1990/1991",36,1991-01-01,0,2,0,1,18,0,21,24.9142857142857,0.872637749054869
"1990/1991",37,1991-01-08,0,1,0,3,17,0,21,25.2428571428571,0.922487233213428
"1990/1991",38,1991-01-15,0,0,0,1,25,0,26,24.7142857142857,0.842634178906503
"1990/1991",39,1991-01-22,0,0,0,0,34,0,34,24.8285714285714,0.859744859458696
"1990/1991",40,1991-01-29,0,3,0,0,34,0,37,25.0571428571429,0.894232461661235
"1990/1991",41,1991-02-05,0,0,0,2,15,0,17,25.1428571428571,0.907248992721253
"1990/1991",42,1991-02-12,1,1,0,0,17,0,19,25.8428571428571,1.01485271484437
"1990/1991",43,1991-02-19,1,3,0,0,21,0,25,25.2571428571429,0.924668486075225
"1990/1991",44,1991-02-26,0,0,0,1,17,0,18,26.0142857142857,1.04144652729193
"1990/1991",45,1991-03-05,1,1,0,1,18,0,21,25.9285714285714,1.02814246799272
"1990/1991",46,1991-03-12,0,0,0,0,17,0,17,26.0857142857143,1.05254181234821
"1990/1991",47,1991-03-19,0,0,0,0,17,0,17,26.0571428571429,1.04810290138686
"1990/1991",48,1991-03-26,1,2,0,1,12,0,16,25.2428571428571,0.922487233213428
"1990/1991",49,1991-04-02,0,2,0,1,13,0,16,25.3,0.931218505204458
"1990/1991",50,1991-04-09,0,0,0,1,14,0,15,25.5142857142857,0.964098275695089
"1990/1991",51,1991-04-16,1,0,0,0,22,0,23,26.5285714285714,1.12138370375304
"1990/1991",52,1991-04-23,0,2,0,0,14,0,16,27.3142857142857,1.24252679732557
"1991/1992",1,1991-04-30,0,1,0,0,16,0,17,26.9285714285714,1.1833472728697
"1991/1992",2,1991-05-07,0,0,0,0,12,0,12,26.5285714285714,1.12138370375304
"1991/1992",3,1991-05-14,1,2,0,0,14,0,17,27.3857142857143,1.25339426274098
"1991/1992",4,1991-05-21,0,2,0,0,8,0,10,27.9428571428571,1.33676740650384
"1991/1992",5,1991-05-28,0,1,0,0,14,0,15,28.0714285714286,1.35557554469483
"1991/1992",6,1991-06-04,2,1,0,1,15,0,19,28.2285714285714,1.3782954515598
"1991/1992",7,1991-06-11,0,2,0,4,15,0,21,28.9285714285714,1.47512206455753
"1991/1992",8,1991-06-18,0,2,0,2,10,0,14,27.9142857142857,1.33256286699054
"1991/1992",9,1991-06-25,4,0,0,1,13,0,18,28.3714285714286,1.39866998520844
"1991/1992",10,1991-07-02,0,0,0,4,9,0,13,28.4142857142857,1.40472667644798
"1991/1992",11,1991-07-09,0,0,0,1,13,0,14,28.8,1.45794916974685
"1991/1992",12,1991-07-16,0,0,0,0,17,1,18,28,1.34514971259517
"1991/1992",13,1991-07-23,0,0,0,0,23,0,23,28.5714285714286,1.42669986655911
"1991/1992",14,1991-07-30,0,1,0,1,23,0,25,28.5,1.41675886732394
"1991/1992",15,1991-08-06,8,3,0,1,50,0,62,29.4285714285714,1.5387280498951
"1991/1992",16,1991-08-13,3,4,0,0,53,0,60,29.2714285714286,1.51932176935152
"1991/1992",17,1991-08-20,6,9,0,1,60,0,76,28.1571428571429,1.36800646002977
"1991/1992",18,1991-08-27,7,0,0,4,55,0,66,28.9428571428571,1.47701105011273
"1991/1992",19,1991-09-03,5,4,0,0,55,0,64,28.9714285714286,1.48077723725072
"1991/1992",20,1991-09-10,1,2,0,2,63,0,68,28.9142857142857,1.47322918625039
"1991/1992",21,1991-09-17,1,2,0,0,86,0,89,28.1428571428571,1.36594089839411
"1991/1992",22,1991-09-24,7,6,0,1,78,0,92,27.7428571428571,1.30715936527352
"1991/1992",23,1991-10-01,1,8,0,2,129,0,140,27.6571428571429,1.29435214181444
"1991/1992",24,1991-10-08,0,4,0,0,110,2,116,28.5428571428571,1.42273305096547
"1991/1992",25,1991-10-15,7,4,0,4,127,0,142,27.8285714285714,1.31989783370245
"1991/1992",26,1991-10-22,14,3,0,2,108,2,129,28.1142857142857,1.36180219703005
"1991/1992",27,1991-10-29,6,3,0,4,126,1,140,27.1857142857143,1.22288578535052
"1991/1992",28,1991-11-05,10,1,0,3,126,0,140,26.6571428571429,1.14134245981257
"1991/1992",29,1991-11-12,5,6,0,5,111,0,127,26.3142857142857,1.0880755882897
"1991/1992",30,1991-11-19,8,5,0,4,111,1,129,26.2714285714286,1.08141150595131
"1991/1992",31,1991-11-26,11,3,0,6,148,1,169,26.7285714285714,1.15241639553096
"1991/1992",32,1991-12-03,3,3,0,3,131,1,141,25.6142857142857,0.979507548146685
"1991/1992",33,1991-12-10,4,5,0,4,95,0,108,25,0.885579164359526
"1991/1992",34,1991-12-17,1,2,0,2,69,4,78,24.3571428571429,0.789811389545507
"1991/1992",35,1991-12-24,0,1,0,3,64,2,70,24.3857142857143,0.793998510423914
"1991/1992",36,1992-01-01,0,1,0,1,63,16,81,25.9,1.02371080084562
"1991/1992",37,1992-01-08,2,2,0,5,89,6,104,24.9571428571429,0.879102550914738
"1991/1992",38,1992-01-15,4,2,0,1,79,4,90,24.8857142857143,0.868334601660188
"1991/1992",39,1992-01-22,1,1,0,0,83,0,85,24.9,0.870485495430572
"1991/1992",40,1992-01-29,0,0,0,2,51,2,55,24.4571428571429,0.804496865480681
"1991/1992",41,1992-02-05,0,0,0,3,43,7,53,26.7571428571429,1.1568424630043
"1991/1992",42,1992-02-12,2,2,0,1,54,6,65,25.3428571428571,0.937777643184383
"1991/1992",43,1992-02-19,1,0,0,1,31,0,33,25.4142857142857,0.948728844405449
"1991/1992",44,1992-02-26,3,2,0,1,32,0,38,25.5714285714286,0.972898997460445
"1991/1992",45,1992-03-04,5,1,0,1,52,0,59,25.9142857142857,1.02592642816064
"1991/1992",46,1992-03-11,3,1,0,3,33,0,40,25.8285714285714,1.01263937327052
"1991/1992",47,1992-03-18,1,0,0,0,36,0,37,26.4285714285714,1.10584416579844
"1991/1992",48,1992-03-25,2,0,0,1,26,0,29,26.1428571428571,1.06142226417045
"1991/1992",49,1992-04-01,2,0,0,0,28,0,30,27.0714285714286,1.20535098810634
"1991/1992",50,1992-04-08,1,2,0,0,27,0,30,26.9428571428571,1.18555142512556
"1991/1992",51,1992-04-15,1,0,0,0,27,0,28,26.6714285714286,1.14355817828659
"1991/1992",52,1992-04-22,2,0,0,0,21,0,23,27.7285714285714,1.30502947734744
"1992/1993",1,1992-04-29,0,0,0,1,23,0,24,26.3428571428571,1.09251821138159
"1992/1993",2,1992-05-06,2,2,0,0,25,0,29,27.5285714285714,1.27502245201982
"1992/1993",3,1992-05-13,3,1,0,0,22,0,26,27.9714285714286,1.34096308127949
"1992/1993",4,1992-05-20,1,0,0,1,21,0,23,27.4571428571429,1.26422699229208
"1992/1993",5,1992-05-27,4,0,0,0,16,0,20,27.5857142857143,1.28363026117671
"1992/1993",6,1992-06-03,0,0,0,0,19,0,19,28.0857142857143,1.35765354494597
